,代码,名称,最新价,股数
435,002848,高斯贝尔,6.96,3.4800000000000004
436,301128,强瑞技术,39.99,74.46000000000001
437,688297,中无人机,36.31,1572.94
438,600733,北汽蓝谷,7.46,8656.78
439,300163,ST先锋,1.4,0.0
440,002530,金财互联,7.47,0.0
441,300604,长川科技,31.9,9825.249999999998
442,300475,香农芯创,35.19,1374.0199999999998
443,301338,凯格精机,30.51,65.7
444,003006,百亚股份,23.96,5342.16
445,300337,银邦股份,7.52,0.0
446,301062,上海艾录,10.82,48.08
447,300602,飞荣达,15.54,275.17
448,688200,华峰测控,116.0,353.96000000000004
449,301312,智立方,37.8,129.02
450,000636,风华高科,13.26,1760.2799999999997
451,300832,新产业,72.06,
452,300969,恒帅股份,82.08,318.48
453,300882,万胜智能,18.05,49.67999999999999
454,000766,通化金马,17.65,19.91
455,002537,海联金汇,5.25,519.8399999999999
456,688799,华纳药厂,47.83,152.19
457,688197,首药控股-U,45.47,1741.58
458,002047,宝鹰股份,1.44,0.0
459,600992,贵绳股份,17.29,0.0
460,300088,长信科技,4.83,3280.86
461,300833,浩洋股份,53.37,453.28
462,688793,倍轻松,30.71,304.48
463,688065,凯赛生物,46.6,1922.76
464,300919,中伟股份,35.96,2077.46
465,300903,科翔股份,7.4,0.0
466,301511,德福科技,16.32,
467,600562,国睿科技,14.48,3792.6
468,600760,中航沈飞,41.97,25962.96999999998
469,002351,漫步者,13.0,1041.37
470,688190,云路股份,81.62,425.31000000000006
471,600461,洪城环境,12.04,16910.550000000003
472,300866,安克创新,74.26,1596.4399999999996
473,300719,安达维尔,18.07,1277.27
474,688348,昱能科技,67.12,71.02
475,300775,三角防务,30.38,3751.55
476,300706,阿石创,20.76,142.99
477,300049,福瑞股份,55.7,8456.37
478,605117,德业股份,70.93,6558.159999999997
479,002583,海能达,4.06,4769.76
480,688076,XD诺泰生,62.22,5256.25
481,002393,力生制药,16.83,6.84
482,301231,荣信文化,17.86,89.82
483,002456,欧菲光,8.2,4190.099999999999
484,301139,元道通信,22.07,0.0
485,002161,远 望 谷,4.63,0.0
486,688535,华海诚科,77.05,17.61
487,603668,天马科技,11.9,2002.5199999999995
488,688260,昀冢科技,16.14,261.78000000000003
489,000712,锦龙股份,8.35,1475.62
490,603936,XD博敏电,7.83,384.63
491,601038,一拖股份,16.71,1296.7199999999998
492,300274,阳光电源,67.89,
493,688180,君实生物-U,29.25,5266.7
494,688596,正帆科技,37.68,10954.220000000003
495,300664,鹏鹞环保,4.71,0.0
496,301183,东田微,46.63,9.9
497,603327,福蓉科技,14.78,0.0
498,300890,翔丰华,28.01,0.0
499,002368,太极股份,22.22,474.93999999999994
500,600463,空港股份,8.48,0.0
501,603989,艾华集团,14.37,1189.2800000000002
502,002570,贝因美,2.67,0.0
503,688008,澜起科技,54.01,29677.350000000002
